title,tx_freq,rx_freq,tx_sub_audio(CTCSS=freq/DCS=number),rx_sub_audio(CTCSS=freq/DCS=number),tx_power(H/M/L),bandwidth(12500/25000),scan(0=OFF/1=ON),talk around(0=OFF/1=ON),pre_de_emph_bypass(0=OFF/1=ON),sign(0=OFF/1=ON),tx_dis(0=OFF/1=ON),mute(0=OFF/1=ON),rx_modulation(0=FM/1=AM),tx_modulation(0=FM/1=AM)
OK0BPL,430575000,430575000,0,0,H,25000,1,0,0,1,0,0,0,0
OK0AE,431075000,431075000,0,0,H,25000,1,0,0,1,0,0,0,0
OK0BC,431575000,431575000,0,0,H,25000,1,0,0,1,0,0,0,0
OK0BL,432075000,432075000,0,0,H,25000,1,0,0,1,0,0,0,0
Node MDX,432575000,432575000,0,0,H,25000,1,0,0,1,0,0,0,0
Node SIM,433075000,433075000,0,0,H,25000,1,0,0,1,0,0,0,0
Node CEL,433575000,433575000,0,0,H,25000,1,0,0,1,0,0,0,0
PMR01,446006250,446006250,0,0,H,25000,1,0,0,1,0,0,0,0
PMR02,446018750,446018750,0,0,H,25000,1,0,0,1,0,0,0,0
PMR03,446031250,446031250,0,0,H,25000,1,0,0,1,0,0,0,0
PMR04,446043750,446043750,0,0,H,25000,1,0,0,1,0,0,0,0
PMR05,446056250,446056250,0,0,H,25000,1,0,0,1,0,0,0,0
PMR06,446068750,446068750,0,0,H,25000,1,0,0,1,0,0,0,0
PMR07,446081250,446081250,0,0,H,25000,1,0,0,1,0,0,0,0
PMR08,446093750,446093750,0,0,H,25000,1,0,0,1,0,0,0,0
PMR09,438075000,438075000,0,0,H,25000,1,0,0,1,0,0,0,0
PMR10,438575000,438575000,0,0,H,25000,1,0,0,1,0,0,0,0
PMR11,439075000,439075000,0,0,H,25000,1,0,0,1,0,0,0,0
PMR12,430075000,430075000,0,0,H,25000,1,0,0,1,0,0,0,0
PMR13,439575000,439575000,0,0,H,25000,1,0,0,1,0,0,0,0
PMR14,,,,,,,,,,,,,,
PMR15,,,,,,,,,,,,,,
PMR16,,,,,,,,,,,,,,
ISS APRS,,,,,,,,,,,,,,
ISS SSTV,,,,,,,,,,,,,,
145.550,,,,,,,,,,,,,,
145.575,,,,,,,,,,,,,,
